length_nm,width_nm,aspect_ratio,colour
1.376,0.214,6.429906542056075,Grey
1.668,0.249,6.698795180722891,Grey
1.208,0.257,4.700389105058366,Grey
1.049,0.239,4.389121338912134,Grey
1.307,0.221,5.914027149321266,Grey
1.336,0.201,6.646766169154229,Grey
1.624,0.199,8.160804020100503,Grey
1.714,0.199,8.613065326633166,Grey
1.574,0.178,8.842696629213483,Grey
2.068,0.185,11.17837837837838,Grey
1.96,0.173,11.329479768786127,Grey
1.367,0.193,7.0829015544041445,Grey
1.466,0.162,9.049382716049383,Grey
1.682,0.189,8.899470899470899,Grey
1.484,0.233,6.369098712446352,Grey
2.069,0.266,7.778195488721804,Grey
1.587,0.221,7.1809954751131215,Grey
1.243,0.257,4.836575875486382,Grey
1.135,0.268,4.235074626865671,Grey
1.417,0.234,6.055555555555555,Grey
1.506,0.203,7.418719211822659,Grey
2.159,0.221,9.769230769230768,Grey
1.169,0.235,4.974468085106383,Grey
1.674,0.293,5.713310580204778,Grey
0.953,0.294,3.241496598639456,Grey
1.446,0.283,5.109540636042403,Grey
1.753,0.283,6.194346289752651,Grey
1.251,0.244,5.127049180327869,Grey
1.316,0.214,6.149532710280374,Grey
1.41,0.271,5.2029520295202945,Grey
0.433,0.198,2.186868686868687,Grey
0.361,0.315,1.146031746031746,Brown
0.426,0.278,1.5323741007194243,Brown
0.289,0.247,1.1700404858299593,Brown
0.319,0.297,1.0740740740740742,Brown
0.528,0.265,1.9924528301886792,Brown
0.525,0.24,2.1875,Brown
0.488,0.26,1.876923076923077,Brown
0.287,0.285,1.0070175438596491,Brown
0.409,0.249,1.642570281124498,Brown
0.38,0.263,1.4448669201520912,Brown
0.459,0.252,1.8214285714285714,Brown
0.375,0.316,1.1867088607594936,Brown
0.406,0.337,1.2047477744807122,Brown
0.39,0.322,1.2111801242236024,Brown
0.507,0.35,1.4485714285714286,Brown
0.509,0.296,1.7195945945945947,Brown
0.418,0.242,1.7272727272727273,Brown
0.437,0.302,1.4470198675496688,Brown
0.397,0.35,1.1342857142857143,Brown
0.327,0.336,0.9732142857142857,Brown
0.528,0.271,1.948339483394834,Brown
0.527,0.43,1.2255813953488373,Brown
0.539,0.401,1.344139650872818,Brown
0.374,0.254,1.4724409448818898,Brown
0.477,0.322,1.481366459627329,Brown
0.486,0.372,1.3064516129032258,Brown
0.43,0.295,1.457627118644068,Brown
0.609,0.249,2.4457831325301203,Brown
0.442,0.306,1.4444444444444444,Brown
0.533,0.316,1.6867088607594938,Brown
0.499,0.327,1.5259938837920488,Brown
0.662,0.394,1.6802030456852792,Brown
0.392,0.313,1.2523961661341854,Brown
0.529,0.221,2.3936651583710407,Brown
0.694,0.35,1.9828571428571429,Brown
0.694,0.337,2.059347181008902,Brown
0.422,0.202,2.0891089108910887,Brown
0.45,0.273,1.6483516483516483,Brown
0.513,0.279,1.8387096774193548,Brown
0.29,0.365,0.7945205479452054,Brown
0.33,0.316,1.0443037974683544,Brown
0.557,0.318,1.7515723270440253,Brown
0.67,0.331,2.02416918429003,Brown
0.472,0.249,1.8955823293172689,Brown
0.473,0.278,1.7014388489208632,Brown
0.434,0.278,1.5611510791366905,Brown
0.407,0.277,1.4693140794223825,Brown
0.455,0.248,1.8346774193548387,Brown
0.452,0.344,1.3139534883720931,Brown
0.647,0.272,2.378676470588235,Brown
0.415,0.315,1.3174603174603174,Brown
0.39,0.316,1.2341772151898736,Brown
0.35,0.281,1.2455516014234873,Brown
0.351,0.296,1.1858108108108107,Brown
0.747,0.244,3.0614754098360657,Brown
0.427,0.334,1.278443113772455,Brown
0.472,0.319,1.4796238244514106,Brown
0.453,0.301,1.5049833887043191,Brown
0.35,0.276,1.2681159420289854,Brown
0.469,0.305,1.5377049180327869,Brown
0.424,0.3,1.4133333333333333,Brown
0.372,0.357,1.0420168067226891,Brown
0.34,0.299,1.1371237458193981,Brown
0.427,0.296,1.4425675675675675,Brown
0.315,0.36,0.875,Brown
0.365,0.239,1.5271966527196652,Brown
0.547,0.354,1.5451977401129946,Brown
0.749,0.279,2.6845878136200714,Brown
0.504,0.245,2.0571428571428574,Brown
0.433,0.255,1.6980392156862745,Brown
0.328,0.299,1.096989966555184,Brown
0.371,0.234,1.5854700854700854,Brown
0.442,0.337,1.311572700296736,Brown
0.616,0.265,2.3245283018867924,Brown
0.482,0.243,1.9835390946502058,Brown
0.742,0.359,2.066852367688022,Brown
0.334,0.319,1.0470219435736678,Brown
0.78,0.277,2.815884476534296,Brown
0.466,0.264,1.7651515151515151,Brown
0.474,0.271,1.7490774907749076,Brown
0.366,0.33,1.109090909090909,Brown
0.469,0.258,1.817829457364341,Brown
0.519,0.357,1.4537815126050422,Brown
0.481,0.434,1.108294930875576,Brown
0.52,0.429,1.2121212121212122,Brown
0.511,0.352,1.4517045454545456,Brown
0.457,0.291,1.5704467353951892,Brown
0.447,0.286,1.5629370629370631,Brown
0.514,0.291,1.766323024054983,Brown
0.463,0.372,1.2446236559139785,Brown
0.525,0.282,1.8617021276595747,Brown
0.474,0.293,1.6177474402730376,Brown
0.41,0.414,0.9903381642512077,Brown
0.593,0.399,1.4862155388471177,Brown
0.327,0.256,1.27734375,Brown
0.498,0.316,1.5759493670886076,Brown
0.372,0.319,1.1661442006269591,Brown
0.415,0.359,1.1559888579387188,Brown
0.346,0.293,1.180887372013652,Brown
0.386,0.375,1.0293333333333334,Brown
1.344,0.124,10.838709677419356,Iridescent
1.511,0.138,10.949275362318838,Iridescent
1.324,0.203,6.522167487684729,Iridescent
1.064,0.159,6.6918238993710695,Iridescent
1.582,0.116,13.637931034482758,Iridescent
